,City,Building,AC,num_AC_modules,ABC,num_ABC_modules,Furnace,num_Furnace_modules,PrimeMover,num_PM_modules,PV Module,num_PV_modules,BES,num_BES_modules
0,albuquerque,full_service_restaurant,,0,ABC_TS1,1,,0,RE1,2,,0,,0
1,albuquerque,full_service_restaurant,,0,ABC_TS1,1,,0,RE2,1,,0,,0
2,albuquerque,full_service_restaurant,,0,ABC_TS1,1,,0,RE3,1,,0,,0
3,albuquerque,full_service_restaurant,,0,ABC_TS1,1,,0,RE4,1,,0,,0
4,albuquerque,full_service_restaurant,,0,ABC_TS1,1,,0,RE5,1,,0,,0
5,albuquerque,full_service_restaurant,,0,ABC_TS1,1,,0,GT1,1,,0,,0
6,albuquerque,full_service_restaurant,,0,ABC_TS1,1,,0,GT2,1,,0,,0
7,albuquerque,full_service_restaurant,,0,ABC_TS1,1,,0,GT3,1,,0,,0
8,albuquerque,full_service_restaurant,,0,ABC_TS1,1,,0,GT4,1,,0,,0
9,albuquerque,full_service_restaurant,,0,ABC_TS1,1,,0,GT5,1,,0,,0
10,albuquerque,full_service_restaurant,,0,ABC_TS1,1,,0,GT6,1,,0,,0
11,albuquerque,full_service_restaurant,,0,ABC_SS1,1,,0,MT1,4,,0,,0
12,albuquerque,full_service_restaurant,,0,ABC_SS1,1,,0,MT2,2,,0,,0
13,albuquerque,full_service_restaurant,,0,ABC_SS1,1,,0,MT3,1,,0,,0
14,albuquerque,full_service_restaurant,,0,ABC_SS1,1,,0,MT4,1,,0,,0
15,albuquerque,full_service_restaurant,,0,ABC_SS1,1,,0,MT5,1,,0,,0
16,albuquerque,full_service_restaurant,,0,ABC_SS1,1,,0,MT6,1,,0,,0
17,albuquerque,full_service_restaurant,,0,ABC_SS1,1,,0,FC1,222,,0,,0
18,albuquerque,full_service_restaurant,,0,ABC_SS1,1,,0,FC2,411,,0,,0
19,albuquerque,full_service_restaurant,,0,ABC_SS1,1,,0,FC3,1,,0,,0
20,albuquerque,full_service_restaurant,,0,ABC_SS1,1,,0,FC4,1,,0,,0
21,albuquerque,full_service_restaurant,,0,ABC_SS1,1,,0,FC5,1,,0,,0
22,albuquerque,hospital,,0,ABC_TS1,2,,0,RE1,21,,0,,0
23,albuquerque,hospital,,0,ABC_TS1,2,,0,RE2,6,,0,,0
24,albuquerque,hospital,,0,ABC_TS1,2,,0,RE3,4,,0,,0
25,albuquerque,hospital,,0,ABC_TS1,2,,0,RE4,2,,0,,0
26,albuquerque,hospital,,0,ABC_TS1,2,,0,RE5,1,,0,,0
27,albuquerque,hospital,,0,ABC_TS1,2,,0,GT1,1,,0,,0
28,albuquerque,hospital,,0,ABC_TS1,2,,0,GT2,1,,0,,0
29,albuquerque,hospital,,0,ABC_TS1,2,,0,GT3,1,,0,,0
30,albuquerque,hospital,,0,ABC_TS1,2,,0,GT4,1,,0,,0
31,albuquerque,hospital,,0,ABC_TS1,2,,0,GT5,1,,0,,0
32,albuquerque,hospital,,0,ABC_TS1,2,,0,GT6,1,,0,,0
33,albuquerque,hospital,,0,ABC_SS1,10,,0,MT1,63,,0,,0
34,albuquerque,hospital,,0,ABC_SS1,10,,0,MT2,32,,0,,0
35,albuquerque,hospital,,0,ABC_SS1,10,,0,MT3,15,,0,,0
36,albuquerque,hospital,,0,ABC_SS1,10,,0,MT4,11,,0,,0
37,albuquerque,hospital,,0,ABC_SS1,10,,0,MT5,9,,0,,0
38,albuquerque,hospital,,0,ABC_SS1,10,,0,MT6,3,,0,,0
39,albuquerque,hospital,,0,ABC_SS1,10,,0,FC1,4062,,0,,0
40,albuquerque,hospital,,0,ABC_SS1,10,,0,FC2,7528,,0,,0
41,albuquerque,hospital,,0,ABC_SS1,10,,0,FC3,19,,0,,0
42,albuquerque,hospital,,0,ABC_SS1,10,,0,FC4,8,,0,,0
43,albuquerque,hospital,,0,ABC_SS1,10,,0,FC5,4,,0,,0
44,albuquerque,large_hotel,,0,ABC_TS1,1,,0,RE1,10,,0,,0
45,albuquerque,large_hotel,,0,ABC_TS1,1,,0,RE2,3,,0,,0
46,albuquerque,large_hotel,,0,ABC_TS1,1,,0,RE3,2,,0,,0
47,albuquerque,large_hotel,,0,ABC_TS1,1,,0,RE4,1,,0,,0
48,albuquerque,large_hotel,,0,ABC_TS1,1,,0,RE5,1,,0,,0
49,albuquerque,large_hotel,,0,ABC_TS1,1,,0,GT1,1,,0,,0
50,albuquerque,large_hotel,,0,ABC_TS1,1,,0,GT2,1,,0,,0
51,albuquerque,large_hotel,,0,ABC_TS1,1,,0,GT3,1,,0,,0
52,albuquerque,large_hotel,,0,ABC_TS1,1,,0,GT4,1,,0,,0
53,albuquerque,large_hotel,,0,ABC_TS1,1,,0,GT5,1,,0,,0
54,albuquerque,large_hotel,,0,ABC_TS1,1,,0,GT6,1,,0,,0
55,albuquerque,large_hotel,,0,ABC_SS1,3,,0,MT1,28,,0,,0
56,albuquerque,large_hotel,,0,ABC_SS1,3,,0,MT2,15,,0,,0
57,albuquerque,large_hotel,,0,ABC_SS1,3,,0,MT3,7,,0,,0
58,albuquerque,large_hotel,,0,ABC_SS1,3,,0,MT4,5,,0,,0
59,albuquerque,large_hotel,,0,ABC_SS1,3,,0,MT5,4,,0,,0
60,albuquerque,large_hotel,,0,ABC_SS1,3,,0,MT6,2,,0,,0
61,albuquerque,large_hotel,,0,ABC_SS1,3,,0,FC1,1809,,0,,0
62,albuquerque,large_hotel,,0,ABC_SS1,3,,0,FC2,3352,,0,,0
63,albuquerque,large_hotel,,0,ABC_SS1,3,,0,FC3,9,,0,,0
64,albuquerque,large_hotel,,0,ABC_SS1,3,,0,FC4,4,,0,,0
65,albuquerque,large_hotel,,0,ABC_SS1,3,,0,FC5,2,,0,,0
66,albuquerque,large_office,,0,ABC_TS1,2,,0,RE1,14,,0,,0
67,albuquerque,large_office,,0,ABC_TS1,2,,0,RE2,4,,0,,0
68,albuquerque,large_office,,0,ABC_TS1,2,,0,RE3,3,,0,,0
69,albuquerque,large_office,,0,ABC_TS1,2,,0,RE4,1,,0,,0
70,albuquerque,large_office,,0,ABC_TS1,2,,0,RE5,1,,0,,0
71,albuquerque,large_office,,0,ABC_TS1,2,,0,GT1,1,,0,,0
72,albuquerque,large_office,,0,ABC_TS1,2,,0,GT2,1,,0,,0
73,albuquerque,large_office,,0,ABC_TS1,2,,0,GT3,1,,0,,0
74,albuquerque,large_office,,0,ABC_TS1,2,,0,GT4,1,,0,,0
75,albuquerque,large_office,,0,ABC_TS1,2,,0,GT5,1,,0,,0
76,albuquerque,large_office,,0,ABC_TS1,2,,0,GT6,1,,0,,0
77,albuquerque,large_office,,0,ABC_SS1,8,,0,MT1,42,,0,,0
78,albuquerque,large_office,,0,ABC_SS1,8,,0,MT2,22,,0,,0
79,albuquerque,large_office,,0,ABC_SS1,8,,0,MT3,10,,0,,0
80,albuquerque,large_office,,0,ABC_SS1,8,,0,MT4,7,,0,,0
81,albuquerque,large_office,,0,ABC_SS1,8,,0,MT5,6,,0,,0
82,albuquerque,large_office,,0,ABC_SS1,8,,0,MT6,2,,0,,0
83,albuquerque,large_office,,0,ABC_SS1,8,,0,FC1,2721,,0,,0
84,albuquerque,large_office,,0,ABC_SS1,8,,0,FC2,5043,,0,,0
85,albuquerque,large_office,,0,ABC_SS1,8,,0,FC3,13,,0,,0
86,albuquerque,large_office,,0,ABC_SS1,8,,0,FC4,5,,0,,0
87,albuquerque,large_office,,0,ABC_SS1,8,,0,FC5,3,,0,,0
88,albuquerque,medium_office,,0,ABC_TS1,1,,0,RE1,5,,0,,0
89,albuquerque,medium_office,,0,ABC_TS1,1,,0,RE2,2,,0,,0
90,albuquerque,medium_office,,0,ABC_TS1,1,,0,RE3,1,,0,,0
91,albuquerque,medium_office,,0,ABC_TS1,1,,0,RE4,1,,0,,0
92,albuquerque,medium_office,,0,ABC_TS1,1,,0,RE5,1,,0,,0
93,albuquerque,medium_office,,0,ABC_TS1,1,,0,GT1,1,,0,,0
94,albuquerque,medium_office,,0,ABC_TS1,1,,0,GT2,1,,0,,0
95,albuquerque,medium_office,,0,ABC_TS1,1,,0,GT3,1,,0,,0
96,albuquerque,medium_office,,0,ABC_TS1,1,,0,GT4,1,,0,,0
97,albuquerque,medium_office,,0,ABC_TS1,1,,0,GT5,1,,0,,0
98,albuquerque,medium_office,,0,ABC_TS1,1,,0,GT6,1,,0,,0
99,albuquerque,medium_office,,0,ABC_SS1,3,,0,MT1,13,,0,,0
100,albuquerque,medium_office,,0,ABC_SS1,3,,0,MT2,7,,0,,0
101,albuquerque,medium_office,,0,ABC_SS1,3,,0,MT3,4,,0,,0
102,albuquerque,medium_office,,0,ABC_SS1,3,,0,MT4,3,,0,,0
103,albuquerque,medium_office,,0,ABC_SS1,3,,0,MT5,2,,0,,0
104,albuquerque,medium_office,,0,ABC_SS1,3,,0,MT6,1,,0,,0
