,city,building,CoolingDemand_kWh,Cooling_HeatDemand_kWh,Cooling_ElecDemand_kWh,MakeupWater_kg,floor_area_m^2,climate_zone,eGRID_subregion,chiller_type,CoolingDemand_intensity_kWh/sqm,fuel_type,PoG_w4e_intensity_factor_(L/kWh),PoG_annual_water_consumption_L,percent_evaporation,PoG_WaterConsumption_intensity_L/kWh,PoG_WaterConsumption_intensity_L/kWh_sqm
0,albuquerque,full_service_restaurant,81176.03759382581,128979.70417685673,1725.2613856607798,361203.00163818436,569.52,4B,AZNM,AbsorptionChiller,142.53412978266928,United States Overall,0.268239025,361665.7840701442,0.9987204141161719,4.45532690176112,0.007822950733531958
1,albuquerque,hospital,11210146.841727791,17811677.759634152,238252.98754285456,38002117.74134321,22422.0,4B,AZNM,AbsorptionChiller,499.9619499477206,United States Overall,0.268239025,38066026.49042504,0.9983211079544141,3.3956759913912085,0.0001514439386045495
2,albuquerque,large_hotel,2760202.8158055292,4385655.585113203,58663.51051192003,9514229.806455025,11345.0,4B,AZNM,AbsorptionChiller,243.29685463248384,United States Overall,0.268239025,9529965.64931782,0.9983488038213526,3.4526323916297517,0.00030433075289817117
3,albuquerque,large_office,3060472.3538688957,4862750.51781392,65045.23909422693,12597871.250606768,46320.0,4B,AZNM,AbsorptionChiller,66.0723737881886,United States Overall,0.268239025,12615318.922122296,0.9986169456655645,4.122016951460006,8.899000326986196e-05
4,albuquerque,medium_office,320281.0793964718,508891.0483743934,6807.040540772998,1391996.7426772073,4982.0,4B,AZNM,AbsorptionChiller,64.28765142442228,United States Overall,0.268239025,1393822.6565949998,0.9986899955247872,4.351873233415717,0.000873519316221541
5,albuquerque,midrise_apartment,116117.84474337615,184498.35331447466,2467.8912602792298,485447.1698217076,3135.0,4B,AZNM,AbsorptionChiller,37.039184926116796,United States Overall,0.268239025,486109.1545671709,0.9986381973282261,4.1863432415705475,0.0013353566958757728
6,albuquerque,outpatient_healthcare,1083317.174704926,1721270.6220311571,23024.101019728692,4100651.169343737,3804.0,4B,AZNM,AbsorptionChiller,284.7836947173833,United States Overall,0.268239025,4106827.1317527704,0.9984961718107678,3.790973897253487,0.0009965756827690555
7,albuquerque,primary_school,348703.2289519561,554050.686001442,7411.1059593255895,1555843.8324336733,6871.0,4B,AZNM,AbsorptionChiller,50.74999693668405,United States Overall,0.268239025,1557831.7802703746,0.9987239008332747,4.467500300907769,0.0006501965217446907
8,albuquerque,quick_service_restaurant,31838.046692328386,50587.1186333662,676.664619034285,143877.56835068596,232.0,4B,AZNM,AbsorptionChiller,137.2329598807258,United States Overall,0.268239025,144059.07620834772,0.9987400456643271,4.524746056203876,0.019503215759499464
9,albuquerque,secondary_school,3259135.764834071,5178404.604125248,69267.49878860671,13876625.411975093,19592.0,4B,AZNM,AbsorptionChiller,166.35033507728008,United States Overall,0.268239025,13895205.658314338,0.9986628304181934,4.2634632801256656,0.00021761245815259624
10,albuquerque,small_hotel,346770.75835346343,550980.2049393927,7370.034517538954,1349482.540072381,4014.0,4B,AZNM,AbsorptionChiller,86.39032345626892,United States Overall,0.268239025,1351459.470945582,0.9985371881912095,3.897270569648319,0.0009709194244265866
11,albuquerque,small_office,20208.386839671384,32108.88131192223,429.495581632483,87755.36616224228,511.0,4B,AZNM,AbsorptionChiller,39.546745283114255,United States Overall,0.268239025,87870.57363830118,0.9986888958238382,4.348223058844121,0.008509242776602977
12,albuquerque,stand_alone_retail,98566.42002864565,156611.0896010704,2094.864980342154,444696.4582260003,2294.0,4B,AZNM,AbsorptionChiller,42.96705319470168,United States Overall,0.268239025,445258.3827658339,0.9987379809980373,4.517343560174263,0.001969199459535424
13,albuquerque,strip_mall,91738.00433999556,145761.4957846596,1949.7383855727032,414841.6830539599,2090.0,4B,AZNM,AbsorptionChiller,43.89378198085912,United States Overall,0.268239025,415364.678977511,0.9987408753078415,4.527727433857224,0.002166376762611112
14,albuquerque,supermarket,96451.65469490988,153250.96245968994,2049.9191677824824,443690.6616397092,4181.0,4B,AZNM,AbsorptionChiller,23.069039630449627,United States Overall,0.268239025,444240.52995860396,0.9987622283834705,4.6058362748031545,0.0011016111635501445
15,albuquerque,warehouse,25741.81669509118,40900.88652664495,547.0994108263384,122172.57653630468,4835.0,4B,AZNM,AbsorptionChiller,5.324057227526614,United States Overall,0.268239025,122319.32994884282,0.9988002434889113,4.751775346616015,0.0009827870416992792
16,atlanta,full_service_restaurant,138201.1475863159,219586.2678315909,2937.235056701169,504548.7006715014,569.52,3A,SRSO,AbsorptionChiller,242.66250102949132,United States Overall,0.268239025,505336.58173930674,0.9984408786217425,3.656529562633987,0.006420370772991268
17,atlanta,hospital,16863438.28369626,26794129.717428878,358404.27498949604,51946586.71798386,22422.0,3A,SRSO,AbsorptionChiller,752.093403072708,United States Overall,0.268239025,52042724.73126287,0.9981527098403197,3.0861277430936664,0.00013763837940833405
18,atlanta,large_hotel,3565816.3839056278,5665686.032205581,75785.4842126073,11352584.313162655,11345.0,3A,SRSO,AbsorptionChiller,314.3073057651501,United States Overall,0.268239025,11372912.937556997,0.998212540225538,3.1894275288230856,0.0002811306768464597
19,atlanta,large_office,6461081.304124868,10265940.294331718,137319.5146503334,21830640.62335508,46320.0,3A,SRSO,AbsorptionChiller,139.48793834466468,United States Overall,0.268239025,21867475.07607836,0.9983155598625296,3.384491549753101,7.306760685995469e-05
20,atlanta,medium_office,490971.69680856995,780099.4738180602,10434.785129504771,1736731.5157058043,4982.0,3A,SRSO,AbsorptionChiller,98.54911617996186,United States Overall,0.268239025,1739530.5322950273,0.9983909356362202,3.543036276026459,0.0007111674580542872
21,atlanta,midrise_apartment,190390.21539679018,302508.89779712254,4046.4267112331227,675359.5571061383,3135.0,3A,SRSO,AbsorptionChiller,60.73053122704631,United States Overall,0.268239025,676444.9666618934,0.9983954207522434,3.5529397624353845,0.0011333141187991657
22,atlanta,outpatient_healthcare,1474836.239312145,2343350.913573765,31345.186206181068,4856387.413846394,3804.0,3A,SRSO,AbsorptionChiller,387.70668751633673,United States Overall,0.268239025,4864795.416032784,0.9982716637664393,3.298532600678226,0.0008671221347734559
23,atlanta,primary_school,581751.7807207332,924338.9404784988,12364.164512918005,2132793.5377059886,6871.0,3A,SRSO,AbsorptionChiller,84.66770204056661,United States Overall,0.268239025,2136110.089139873,0.9984473874025753,3.6718582734606207,0.0005343993994266658
24,atlanta,quick_service_restaurant,55457.844426624295,88116.35281119213,1178.6640535471902,204063.22581834727,232.0,3A,SRSO,AbsorptionChiller,239.0424328733806,United States Overall,0.268239025,204379.38951487333,0.9984530548932722,3.68531073697402,0.015884960073163878
25,atlanta,secondary_school,6420113.817731498,10200847.510395601,136448.81900618665,22867930.357016925,19592.0,3A,SRSO,AbsorptionChiller,327.6905786918894,United States Overall,0.268239025,22904531.255189545,0.9984020236971962,3.56762074714786,0.00018209579150407613
26,atlanta,small_hotel,493999.10115928575,784909.6829530863,10499.127563305397,1672218.3855585307,4014.0,3A,SRSO,AbsorptionChiller,123.06903367196955,United States Overall,0.268239025,1675034.6612994624,0.9983186761408586,3.3907645932322494,0.000844734577287556
27,atlanta,small_office,29775.355804512154,47309.73200050265,632.8255620318986,108255.32511091532,511.0,3A,SRSO,AbsorptionChiller,58.26879805188288,United States Overall,0.268239025,108425.07362266984,0.9984344164492315,3.6414367080792065,0.007126099233031715
28,atlanta,stand_alone_retail,185250.8378786051,294342.9979626724,3937.1978077132876,690731.8792698794,2294.0,3A,SRSO,AbsorptionChiller,80.75450648587842,United States Overall,0.268239025,691787.9893710526,0.9984733616116502,3.7343312305252914,0.0016278688886335185
29,atlanta,strip_mall,168569.13147156916,267837.62000482663,3582.655940875749,632462.0431315838,2090.0,3A,SRSO,AbsorptionChiller,80.655086828502,United States Overall,0.268239025,633423.0512680748,0.9984828336534848,3.757645576852888,0.00179791654394875
30,atlanta,supermarket,183299.7360377032,291242.9139265729,3895.7303899213193,679807.1111357838,4181.0,3A,SRSO,AbsorptionChiller,43.841123185291366,United States Overall,0.268239025,680852.0980572392,0.9984651777905404,3.7144194136602233,0.0008884045476345906
31,atlanta,warehouse,40339.670567919835,64095.25434680596,857.3524651368555,156096.2456280063,4835.0,3A,SRSO,AbsorptionChiller,8.34326175137949,United States Overall,0.268239025,156326.22101733595,0.9985288751443422,3.8752478346130705,0.0008014990350802628
32,baltimore,full_service_restaurant,94354.6876052642,149919.1147505863,2005.3516272372092,338390.64542126225,569.52,4A,RFCE,AbsorptionChiller,165.6740546517492,United States Overall,0.268239025,338928.55898653454,0.9984128998545275,3.5920691127127973,0.00630718695166596
33,baltimore,hospital,16332923.58797378,25951200.812002894,347129.06932306924,48007818.9704364,22422.0,4A,RFCE,AbsorptionChiller,728.4329492451067,United States Overall,0.268239025,48100932.53354078,0.9980642046172504,2.945028933396734,0.00013134550590476914
34,baltimore,large_hotel,3297171.8709036363,5238839.75043577,70075.89282960506,10050422.387676325,11345.0,4A,RFCE,AbsorptionChiller,290.6277541563364,United States Overall,0.268239025,10069219.476844942,0.9981332128858803,3.0538958450125717,0.0002691842966075427
35,baltimore,large_office,5800386.858040384,9216170.229997488,123277.55535621806,18953179.610415537,46320.0,4A,RFCE,AbsorptionChiller,125.22424132211538,United States Overall,0.268239025,18986247.461668674,0.9982583261215836,3.2732726154894833,7.06665072428645e-05
36,baltimore,medium_office,407672.0136246548,647745.5327591719,8664.389196235967,1404741.506132101,4982.0,4A,RFCE,AbsorptionChiller,81.82898707841325,United States Overall,0.268239025,1407065.6334423197,0.9983482452737241,3.4514648698397297,0.0006927870071938438
37,baltimore,midrise_apartment,133634.22680022588,212329.93813813743,2840.172766927492,463473.6029993331,3135.0,4A,RFCE,AbsorptionChiller,42.626547623676515,United States Overall,0.268239025,464235.4481731653,0.9983589250307572,3.4739262484540423,0.0011081104460778444
38,baltimore,outpatient_healthcare,1255467.9023741249,1994799.00043889,26682.877818458095,3967904.7969796318,3804.0,4A,RFCE,AbsorptionChiller,330.0388807502957,United States Overall,0.268239025,3975062.1861098493,0.9981994271296616,3.166199771888151,0.0008323343248917327
39,baltimore,primary_school,437185.9414027138,694639.8846732018,9291.658541279025,1569928.514533125,6871.0,4A,RFCE,AbsorptionChiller,63.627702139821544,United States Overall,0.268239025,1572420.8999608706,0.9984149374841002,3.596686789414473,0.0005234590000603221
